Headers;Contents
Art. 156. Spowodowanie ciężkiego uszczerbku na zdrowiu;"§ 1. Kto powoduje ciężki uszczerbek na zdrowiu w postaci:
1) pozbawienia człowieka wzroku, słuchu, mowy, zdolności płodzenia,
2) innego ciężkiego kalectwa, ciężkiej choroby nieuleczalnej lub długotrwałej, choroby realnie zagrażającej życiu, trwałej choroby psychicznej, całkowitej albo znacznej trwałej niezdolności do pracy w zawodzie lub trwałego, istotnego zeszpecenia lub zniekształcenia ciała,
3) wycięcia, infibulacji lub innego trwałego i istotnego okaleczenia żeńskiego narządu płciowego,
podlega karze pozbawienia wolności od lat 3 do 20.
§ 2. Jeżeli sprawca działa nieumyślnie,
podlega karze pozbawienia wolności do lat 3.
§ 3. Jeżeli następstwem czynu określonego w § 1 jest śmierć człowieka, sprawca
podlega karze pozbawienia wolności na czas nie krótszy od lat 5 albo karze dożywotniego pozbawienia wolności."
Art. 156a. Nakłanianie innej osoby do spowodowania u niej ciężkiego uszczerbku na zdrowiu;"§ 1. Kto nakłania inną osobę do spowodowania u niej ciężkiego uszczerbku na zdrowiu, o którym mowa w art. 156 spowodowanie ciężkiego uszczerbku na zdrowiu § 1 pkt 3,
podlega karze pozbawienia wolności do lat 3.
§ 2. Kto przemocą lub groźbą bezprawną zmusza inną osobę do spowodowania u niej ciężkiego uszczerbku na zdrowiu, o którym mowa w art. 156 spowodowanie ciężkiego uszczerbku na zdrowiu § 1 pkt 3,
podlega karze pozbawienia wolności od 3 miesięcy do 5 lat."
Art. 157. Spowodowanie średniego i lekkiego uszczerbku na zdrowiu;"§ 1. Kto powoduje naruszenie czynności narządu ciała lub rozstrój zdrowia, inny niż określony w art. 156 spowodowanie ciężkiego uszczerbku na zdrowiu § 1,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 2. Kto powoduje naruszenie czynności narządu ciała lub rozstrój zdrowia trwający nie dłużej niż 7 dni,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
§ 3. Jeżeli sprawca czynu określonego w § 1 lub 2 działa nieumyślnie,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do roku.
§ 4. Ściganie przestępstwa określonego w § 2 lub 3, jeżeli naruszenie czynności narządu ciała lub rozstrój zdrowia nie trwał dłużej niż 7 dni, odbywa się z oskarżenia prywatnego, chyba że pokrzywdzonym jest osoba najbliższa zamieszkująca wspólnie ze sprawcą.
§ 5. Jeżeli pokrzywdzonym jest osoba najbliższa, ściganie przestępstwa określonego w § 3 następuje na jej wniosek."
Art. 157a. Uszkodzenie prenatalne;"§ 1. Kto powoduje uszkodzenie ciała dziecka poczętego lub rozstrój zdrowia zagrażający jego życiu,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
§ 2. Nie popełnia przestępstwa lekarz, jeżeli uszkodzenie ciała lub rozstrój zdrowia dziecka poczętego są następstwem działań leczniczych, koniecznych dla uchylenia niebezpieczeństwa grożącego zdrowiu lub życiu kobiety ciężarnej albo dziecka poczętego.
§ 3. Nie podlega karze matka dziecka poczętego, która dopuszcza się czynu określonego w § 1."
Art. 158. Udział w bójce lub pobiciu;"§ 1. Kto bierze udział w bójce lub pobiciu, w którym naraża się człowieka na bezpośrednie niebezpieczeństwo utraty życia albo nastąpienie skutku określonego w art. 156 spowodowanie ciężkiego uszczerbku na zdrowiu § 1 lub w art. 157 spowodowanie średniego i lekkiego uszczerbku na zdrowiu § 1,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 2. Jeżeli następstwem bójki lub pobicia jest ciężki uszczerbek na zdrowiu człowieka, sprawca
podlega karze pozbawienia wolności od roku do lat 10.
§ 3. Jeżeli następstwem bójki lub pobicia jest śmierć człowieka, sprawca
podlega karze pozbawienia wolności od lat 2 do 15."
Art. 159. Użycie w bójce lub pobiciu niebezpiecznych przedmiotów;"Kto, biorąc udział w bójce lub pobiciu człowieka, używa broni palnej, noża lub innego podobnie niebezpiecznego przedmiotu,
podlega karze pozbawienia wolności od 6 miesięcy do lat 8."
Art. 160. Narażenie na niebezpieczeństwo utraty życia albo ciężkiego uszczerbku na zdrowiu;"§ 1. Kto naraża człowieka na bezpośrednie niebezpieczeństwo utraty życia albo ciężkiego uszczerbku na zdrowiu,
podlega karze pozbawienia wolności do lat 3.
§ 2. Jeżeli na sprawcy ciąży obowiązek opieki nad osobą narażoną na niebezpieczeństwo,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 3. Jeżeli sprawca czynu określonego w § 1 lub 2 działa nieumyślnie,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do roku.
§ 4. Nie podlega karze za przestępstwo określone w § 1-3 sprawca, który dobrowolnie uchylił grożące niebezpieczeństwo.
§ 5. Ściganie przestępstwa określonego w § 3 następuje na wniosek pokrzywdzonego."
Art. 161. Narażenie człowieka na zarażenie;"§ 1. Kto, wiedząc, że jest zarażony wirusem HIV lub dotknięty chorobą weneryczną lub zakaźną, ciężką chorobą nieuleczalną lub realnie zagrażającą życiu, naraża bezpośrednio inną osobę na zarażenie tym wirusem lub taką chorobą,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 2. (uchylony)
§ 3. Jeżeli sprawca czynu określonego w § 1 naraża na zarażenie wiele osób,
podlega karze pozbawienia wolności od roku do lat 10.
§ 4. Ściganie przestępstwa określonego w § 1 następuje na wniosek pokrzywdzonego."
Art. 162. Nieudzielenie pomocy;"§ 1. Kto człowiekowi znajdującemu się w położeniu grożącym bezpośrednim niebezpieczeństwem utraty życia albo ciężkiego uszczerbku na zdrowiu nie udziela pomocy, mogąc jej udzielić bez narażenia siebie lub innej osoby na niebezpieczeństwo utraty życia albo ciężkiego uszczerbku na zdrowiu,
podlega karze pozbawienia wolności do lat 3.
§ 2. Nie popełnia przestępstwa, kto nie udziela pomocy, do której jest konieczne poddanie się zabiegowi lekarskiemu albo w warunkach, w których możliwa jest niezwłoczna pomoc ze strony instytucji lub osoby do tego powołanej."
Art. 163. Sprowadzenie zdarzenia niebezpiecznego;"§ 1. Kto sprowadza zdarzenie, które zagraża życiu lub zdrowiu wielu osób albo mieniu w wielkich rozmiarach, mające postać:
1) pożaru,
2) zawalenia się budowli, zalewu albo obsunięcia się ziemi, skał lub śniegu,
3) eksplozji materiałów wybuchowych lub łatwopalnych albo innego gwałtownego wyzwolenia energii, rozprzestrzeniania się substancji trujących, duszących lub parzących,
4) gwałtownego wyzwolenia energii jądrowej lub wyzwolenia promieniowania jonizującego,
podlega karze pozbawienia wolności od roku do lat 10.
§ 2. Jeżeli sprawca działa nieumyślnie,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 3. Jeżeli następstwem czynu określonego w § 1 jest śmierć człowieka lub ciężki uszczerbek na zdrowiu wielu osób, sprawca
podlega karze pozbawienia wolności od lat 2 do 15.
§ 4. Jeżeli następstwem czynu określonego w § 2 jest śmierć człowieka lub ciężki uszczerbek na zdrowiu wielu osób, sprawca
podlega karze pozbawienia wolności od 6 miesięcy do lat 8."
Art. 164. Sprowadzenie niebezpieczeństwa katastrofy;"§ 1. Kto sprowadza bezpośrednie niebezpieczeństwo zdarzenia określonego w art. 163 sprowadzenie zdarzenia niebezpiecznego § 1,
podlega karze pozbawienia wolności od 6 miesięcy do lat 8.
§ 2. Jeżeli sprawca działa nieumyślnie,
podlega karze pozbawienia wolności do lat 3."
Art. 165. Sprowadzenie niebezpieczeństwa powszechnego;"§ 1. Kto sprowadza niebezpieczeństwo dla życia lub zdrowia wielu osób albo dla mienia w wielkich rozmiarach:
1) powodując zagrożenie epidemiologiczne lub szerzenie się choroby zakaźnej albo zarazy zwierzęcej lub roślinnej,
2) wyrabiając lub wprowadzając do obrotu szkodliwe dla zdrowia substancje, środki spożywcze lub inne artykuły powszechnego użytku lub też środki farmaceutyczne nie odpowiadające obowiązującym warunkom jakości,
3) powodując uszkodzenie lub unieruchomienie urządzenia użyteczności publicznej, w szczególności urządzenia dostarczającego wodę, światło, ciepło, gaz, energię albo urządzenia zabezpieczającego przed nastąpieniem niebezpieczeństwa powszechnego lub służącego do jego uchylenia,
4) zakłócając, uniemożliwiając lub w inny sposób wpływając na automatyczne przetwarzanie, gromadzenie lub przekazywanie danych informatycznych,
5) działając w inny sposób w okolicznościach szczególnie niebezpiecznych,
podlega karze pozbawienia wolności od 6 miesięcy do lat 8.
§ 2. Jeżeli sprawca działa nieumyślnie,
podlega karze pozbawienia wolności do lat 3.
§ 3. Jeżeli następstwem czynu określonego w § 1 jest śmierć człowieka lub ciężki uszczerbek na zdrowiu wielu osób, sprawca
podlega karze pozbawienia wolności od lat 2 do 15.
§ 4. Jeżeli następstwem czynu określonego w § 2 jest śmierć człowieka lub ciężki uszczerbek na zdrowiu wielu osób, sprawca
podlega karze pozbawienia wolności od 6 miesięcy do lat 8."
Art. 165a. Finansowanie przestępstwa o charakterze terrorystycznym;"§ 1. Kto gromadzi, przekazuje lub oferuje środki płatnicze, instrumenty finansowe, papiery wartościowe, wartości dewizowe, prawa majątkowe lub inne mienie ruchome lub nieruchomości w zamiarze sfinansowania przestępstwa o charakterze terrorystycznym lub przestępstwa, o którym mowa w art. 120 stosowanie środków masowej zagłady, art. 121 wytwarzanie, gromadzenie i obrót środkami zakazanymi, art. 136 czynna napaść lub znieważenie przedstawiciela obcego państwa, art. 166 przejęcie kontroli nad statkiem wodnym lub powietrznym albo publicznym środkiem transportu lądowego, art. 167 umieszczenie na statku lub w publicznym środku transportu lądowego niebezpiecznego urządzenia lub substancji, art. 171 wytwarzanie lub obrót substancjami, materiałami i urządzeniami niebezpiecznymi, art. 252 wzięcie lub przetrzymywanie zakładnika, art. 255a rozpowszechnianie treści ułatwiających popełnienie przestępstwa o charakterze terrorystycznym lub art. 259a przekroczenie granicy RP w celu popełnienia przestępstwa o charakterze terrorystycznym,
podlega karze pozbawienia wolności od lat 2 do 15.
§ 2. Tej samej karze podlega, kto udostępnia mienie określone w § 1 zorganizowanej grupie lub związkowi mającym na celu popełnienie przestępstwa, o którym mowa w tym przepisie, osobie biorącej udział w takiej grupie lub związku lub osobie, która ma zamiar popełnienia takiego przestępstwa.
§ 3. Kto, nie będąc do tego obowiązany na mocy ustawy, pokrywa koszty związane z zaspokojeniem potrzeb lub wykonaniem zobowiązań finansowych grupy, związku lub osoby, o których mowa w § 2,
podlega karze pozbawienia wolności do lat 3.
§ 4. Tej samej karze podlega sprawca czynu określonego w § 1 lub 2, który działa nieumyślnie."
Art. 166. Przejęcie kontroli nad statkiem wodnym lub powietrznym albo publicznym środkiem transportu lądowego;"§ 1. Kto, stosując podstęp albo gwałt na osobie lub groźbę bezpośredniego użycia takiego gwałtu, przejmuje kontrolę nad statkiem wodnym lub powietrznym albo nad publicznym środkiem transportu lądowego,
podlega karze pozbawienia wolności od lat 2 do 15.
§ 2. Kto, działając w sposób określony w § 1, sprowadza bezpośrednie niebezpieczeństwo dla życia lub zdrowia wielu osób,
podlega karze pozbawienia wolności od lat 3 do 20.
§ 3. Jeżeli następstwem czynu określonego w § 2 jest śmierć człowieka lub ciężki uszczerbek na zdrowiu wielu osób, sprawca
podlega karze pozbawienia wolności od lat 5 do 25."
Art. 167. Umieszczenie na statku lub w publicznym środku transportu lądowego niebezpiecznego urządzenia lub substancji;"§ 1. Kto umieszcza na statku wodnym lub powietrznym albo w publicznym środku transportu lądowego urządzenie lub substancję zagrażającą bezpieczeństwu osób lub mieniu znacznej wartości,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 2. Tej samej karze podlega, kto niszczy, uszkadza lub czyni niezdatnym do użytku urządzenie nawigacyjne albo uniemożliwia jego obsługę, jeżeli może to zagrażać bezpieczeństwu osób."
Art. 168. Karalność przygotowania do przestępstwa;"Kto czyni przygotowania do przestępstwa określonego w art. 163 sprowadzenie zdarzenia niebezpiecznego § 1, art. 165 sprowadzenie niebezpieczeństwa powszechnego § 1, art. 166 przejęcie kontroli nad statkiem wodnym lub powietrznym albo publicznym środkiem transportu lądowego § 1 lub w art. 167 umieszczenie na statku lub w publicznym środku transportu lądowego niebezpiecznego urządzenia lub substancji § 1,
podlega karze pozbawienia wolności do lat 3."
Art. 169. Czynny żal;"§ 1. Nie podlega karze za przestępstwo określone w art. 164 sprowadzenie niebezpieczeństwa katastrofy lub 167 sprawca, który dobrowolnie uchylił grożące niebezpieczeństwo.
§ 2. Wobec sprawcy przestępstwa określonego w art. 163 sprowadzenie zdarzenia niebezpiecznego § 1 lub 2, art. 165 sprowadzenie niebezpieczeństwa powszechnego § 1 lub 2 lub w art. 166 przejęcie kontroli nad statkiem wodnym lub powietrznym albo publicznym środkiem transportu lądowego § 2 sąd może zastosować nadzwyczajne złagodzenie kary, jeżeli sprawca dobrowolnie uchylił niebezpieczeństwo grożące życiu lub zdrowiu wielu osób.
§ 3. Wobec sprawcy przestępstwa określonego w art. 166 przejęcie kontroli nad statkiem wodnym lub powietrznym albo publicznym środkiem transportu lądowego § 1 sąd może zastosować nadzwyczajne złagodzenie kary, jeżeli sprawca przekazał statek lub kontrolę nad nim osobie uprawnionej."
Art. 170. Rozbójnictwo morskie;"Kto uzbraja lub przysposabia statek morski przeznaczony do dokonania na morzu rabunku lub na takim statku przyjmuje służbę,
podlega karze pozbawienia wolności od roku do lat 10."
Art. 171. Wytwarzanie lub obrót substancjami, materiałami i urządzeniami niebezpiecznymi;"§ 1. Kto, bez wymaganego zezwolenia lub wbrew jego warunkom, wyrabia, przetwarza, gromadzi, posiada, posługuje się lub handluje substancją lub przyrządem wybuchowym, materiałem radioaktywnym, urządzeniem emitującym promienie jonizujące lub innym przedmiotem lub substancją, która może sprowadzić niebezpieczeństwo dla życia lub zdrowia wielu osób albo mienia w wielkich rozmiarach,
podlega karze pozbawienia wolności od 6 miesięcy do lat 8.
§ 2. Tej samej karze podlega, kto wbrew obowiązkowi dopuszcza do popełnienia czynu określonego w § 1.
§ 3. Tej samej karze podlega, kto przedmioty określone w § 1 odstępuje osobie nieuprawnionej."
Art. 172. Przeszkadzanie działaniom ratowniczym;"Kto przeszkadza działaniu mającemu na celu zapobieżenie niebezpieczeństwu dla życia lub zdrowia wielu osób albo mienia w wielkich rozmiarach,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5."
Art. 173. Sprowadzenie katastrofy komunikacyjnej;"§ 1. Kto sprowadza katastrofę w ruchu lądowym, wodnym lub powietrznym zagrażającą życiu lub zdrowiu wielu osób albo mieniu w wielkich rozmiarach,
podlega karze pozbawienia wolności od roku do lat 10.
§ 2. Jeżeli sprawca działa nieumyślnie,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 3. Jeżeli następstwem czynu określonego w § 1 jest śmierć człowieka lub ciężki uszczerbek na zdrowiu wielu osób, sprawca
podlega karze pozbawienia wolności od lat 2 do 15.
§ 4. Jeżeli następstwem czynu określonego w § 2 jest śmierć człowieka lub ciężki uszczerbek na zdrowiu wielu osób, sprawca
podlega karze pozbawienia wolności od 6 miesięcy do lat 8."
